initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.7632774553176871,0.05468023701441771,0.0009839168101051473,0.005481398390065344,,,0.0004239850104624018,,,,0.17515300745726226
Cerbere-Banyuls,0.28747600018214337,,0.0019020838488558146,0.31801445476556234,,2.110571091667417e-05,0.00020152126464894905,,,,0.39238483422787285
Cape de Creus,0.38814423815983506,,0.0008012559132170935,0.13103533803154754,,0.00014166653999894577,0.0005917778407350138,,,,0.4792857235146663
Columbretes,0.8929288000579692,,,,0.008706974827343303,0.00011442729243799265,0.0002528986463778774,,,,0.09799689917587165
Cala Ratjada,0.6347002834268017,,,,,0.10989805301268678,0.004151624243240265,,,,0.25125003931727125
Menorca,0.7437102849699759,,,,,0.0013516661271375217,0.02867821002043324,,,,0.22625983888245327
Tabarca,0.37963031951572523,,,,0.0007835521300917394,0.0004116798008263351,0.0011364302914207546,0.007102811024119416,0.00021235206455502763,3.2454063920089484e-07,0.6107225306326223
Cabo de Palos,0.5749853148657477,,,,0.0016369121142750485,0.0004365528299552246,0.0010848418587347094,0.0020373169214553295,0.00022237790646361275,0.0005386731057443685,0.419058010397624
Cabo de Gata,0.42409235270922957,,,,8.130380292699825e-07,,,0.0001954963054896274,0.0001760084795145587,0.22818678690984462,0.3473485425578924
