initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.978790918907808,0.006520616856218484,0.00011944853460331343,0.0006835061164482465,,,0.00015378131391466352,,,,0.013731728271007283
Cerbere-Banyuls,0.9205282500382357,,0.0008466658786161181,0.012666338637912156,,6.947002080952764e-06,9.38930750003772e-06,,,,0.06594240913565509
Cape de Creus,0.8883353231899038,,0.0005131928848556888,0.01050595953902789,,1.630267438733717e-05,2.868910577872864e-05,,,,0.1006005326060465
Columbretes,0.9384255700143516,,,,0.008544046448090016,2.8656964624731492e-06,0.0004117234282910942,,,,0.05261579441280488
Cala Ratjada,0.9192160287714025,,,,,0.02430371906684297,0.002308746846817614,,,,0.05417150531493687
Menorca,0.9885942015820831,,,,,0.0002999580891528726,0.00020529185691695368,,,,0.010900548471847113
Tabarca,0.9003209159497179,,,,0.004509680626157161,0.00012368638685437692,0.000628926536792862,0.004274691483423161,8.989376673682959e-05,,0.09005220525031771
Cabo de Palos,0.9341985267271437,,,,0.004359660930585257,0.00013132369874940318,0.0005087194723179573,0.0015955440718019907,6.156190193427246e-05,6.2690327835308e-06,0.05913839416468398
Cabo de Gata,0.9400594851045498,,,,,,,0.00019410730339290325,5.5412723970033815e-05,0.010868347618576916,0.04882264724951036
