distance_bin,"Comber, stokes, surface, no land contact","Comber, no stokes, surface, no land contact","Comber, no stokes, all depths, no land contact","Comber, stokes, surface, noslip","Comber, no stokes, surface, noslip","Comber, no stokes, all depths, noslip","Striped red mullet, stokes, surface, no land contact","Striped red mullet, no stokes, surface, no land contact","Striped red mullet, no stokes, all depths, no land contact","Striped red mullet, stokes, surface, noslip","Striped red mullet, no stokes, surface, noslip","Striped red mullet, no stokes, all depths, noslip","White seabream, stokes, surface, no land contact","White seabream, no stokes, surface, no land contact","White seabream, no stokes, all depths, no land contact","White seabream, stokes, surface, noslip","White seabream, no stokes, surface, noslip","White seabream, no stokes, all depths, noslip"
15.0,0.0,0.0,3.562093469608863e-05,0.2190193279754744,0.12630211823779208,0.1090133966817974,0.0,0.0,0.0,0.2124289966326449,0.11835983838313273,0.10323074619822567,0.0,0.0,0.0,0.21468705503876348,0.12069408865871295,0.10481384560147126
45.0,0.0,0.0,0.007315285485160814,0.13644018681386244,0.1144346941311944,0.11253339404525173,0.0,0.0,0.0009832726469232542,0.13420731575442302,0.10984596311191874,0.1017446191341307,0.0,0.0,0.0013367767594090788,0.13447044393019145,0.11111857290873807,0.10400171680450317
75.0,1.2240801358527338e-05,0.015979398520202304,0.05120065299752717,0.075641119697842,0.0701268182521315,0.08418529568380143,0.0,0.0008212034080928452,0.015626417596190833,0.0735555779538081,0.058972629015002775,0.0631754915324179,0.0,0.0005713134322412487,0.02169919826694351,0.07368184866924456,0.06044949631977541,0.06756754775707365
105.0,0.0015272985318579226,0.053040692471936386,0.08349856689901568,0.05146985083152444,0.06356722180748674,0.07993197943753537,5.947589365966812e-06,0.022290056615012224,0.05360602365389658,0.049153437868789035,0.04949933213597078,0.05988570603732213,3.8031580691467287e-06,0.034794069888097856,0.0671199067108245,0.04996370598947409,0.05423053294141507,0.06715062868013
135.0,0.0128323528124151,0.05197198808216257,0.06857717027478921,0.03999671274229462,0.061092323426061426,0.07186707218255542,0.0006949698606596198,0.04203684220260757,0.0634219269522317,0.03506650240676931,0.049540090389771016,0.06424187629835176,0.0009501251101541203,0.046942564667641705,0.06695307816360205,0.03557296758981926,0.052476535234329165,0.06917716462416575
165.0,0.04252073421557175,0.04739189416056317,0.0619806488821487,0.03633547287815162,0.05454089613578062,0.05875468587875263,0.009656731534796972,0.037914274115680914,0.05242625599492466,0.027370966682281967,0.04478654142286855,0.05398096868819629,0.013186602912907495,0.037381652904163266,0.052073524628456186,0.028231349476125732,0.04627973301414496,0.05363458296812959
195.0,0.05612802794222781,0.05683324824076536,0.062362521798592564,0.03358623473612203,0.051419512781673116,0.05360147761539452,0.032435192353654475,0.04009982438818037,0.04830288190356925,0.02516043088434286,0.03860029177250545,0.04513058859876571,0.05039878632519989,0.042432078465239005,0.051933628059067184,0.02886690697633928,0.04189186177286016,0.047544509163466135
225.0,0.054295468698843934,0.07834492550199873,0.07136377086767197,0.03491663701391938,0.05874521585889179,0.0563318814538507,0.04135863835577472,0.03907150170632279,0.04857609562360698,0.025314388832394508,0.03749252325339273,0.04396276164021766,0.043854421890647935,0.04284195695020648,0.053857292326958336,0.02727369665974044,0.0416539402894628,0.04743241907335593
255.0,0.05896958269524065,0.12032736960444693,0.08797723094508643,0.035135809388254106,0.07456707398423297,0.0615198089738329,0.044551384972705235,0.06097800916045884,0.057185654439474876,0.025827315049830216,0.050455575534162606,0.046549681399506763,0.046312499175218735,0.07629125431323118,0.06485169238225767,0.028801306223921224,0.059977664192604786,0.04963297891478101
285.0,0.0849164551560926,0.11429612897919543,0.09041470609579194,0.0430953738255394,0.06678435519372931,0.059156103560698274,0.04901843697718032,0.08379057970395916,0.06768693847346527,0.030564917821083483,0.060461628686553935,0.05014873083069602,0.0463991470295411,0.10478755320995453,0.07874895548370651,0.033158168740182625,0.06973400196229905,0.056065638535215526
