distance_bin,"Comber, stokes, surface, no land contact","Comber, no stokes, surface, no land contact","Comber, no stokes, all depths, no land contact","Comber, stokes, surface, noslip","Comber, no stokes, surface, noslip","Comber, no stokes, all depths, noslip","Striped red mullet, stokes, surface, no land contact","Striped red mullet, no stokes, surface, no land contact","Striped red mullet, no stokes, all depths, no land contact","Striped red mullet, stokes, surface, noslip","Striped red mullet, no stokes, surface, noslip","Striped red mullet, no stokes, all depths, noslip","White seabream, stokes, surface, no land contact","White seabream, no stokes, surface, no land contact","White seabream, no stokes, all depths, no land contact","White seabream, stokes, surface, noslip","White seabream, no stokes, surface, noslip","White seabream, no stokes, all depths, noslip"
615.0,0.006519215151760801,0.0043740442329596035,0.0052851377368128465,0.003505915140133132,0.003476718601503438,0.003598405199317593,0.027765830668373414,0.012220398761659241,0.015423468040084074,0.012103239780275865,0.008147013755589114,0.009594335476764512,0.014581422590062447,0.008169307839030877,0.010812438844974178,0.006825819286364471,0.0059124768454397745,0.006739541609059923
645.0,0.00437988964374267,0.003146214708602669,0.0037707205078111243,0.0026908337917267203,0.003094774975022067,0.0028341173730102517,0.019306709027432596,0.008935697761767367,0.01181392372579217,0.008703491094110203,0.0064823139234419045,0.007945174050889974,0.010862277657298618,0.005967283584397058,0.007831921873457529,0.004914398775586376,0.0049910329810834595,0.0053252454920523
675.0,0.002479580510486714,0.0021584448005324518,0.002420102032474906,0.0021230254593125053,0.002775863663597521,0.0016715329956187542,0.012547562386455113,0.006864439815842339,0.009121127421266379,0.006032907544366223,0.006256219339923431,0.005991130541484437,0.0060751326248278965,0.0042553143560647025,0.005875931175735147,0.003206683627221984,0.00479593609544458,0.0038990322337823812
705.0,0.0020612331228805733,0.0016971258765686233,0.0012927848091495151,0.001821091120832652,0.001420344928146062,0.000844731891812814,0.00785285242353728,0.005595789062840861,0.0069516835953768105,0.004174868779792168,0.004855471678801402,0.004293643082289778,0.0038122764842763697,0.004315646832916949,0.0038960363755383975,0.0027469937827166377,0.003481933418302209,0.002543899799533948
735.0,0.0015355332527718412,0.0006837468994734287,0.0007443470976921763,0.0011949877413288644,0.00043907935453207366,0.0004683763346352051,0.005471360661819152,0.00439568406565786,0.004718095807723282,0.0032023164780588713,0.0031778491583126125,0.0029683444343085452,0.0030601217890348807,0.00347577903736458,0.00273157996389215,0.0023677013095088468,0.0020816934583984207,0.001783931632844536
765.0,0.0012055945620364336,0.000214196489037286,0.0002518075907571159,0.0007103858727938336,0.00012087882481306247,0.00013420076982027858,0.004173228259865484,0.003167687709733533,0.003213096738509623,0.0022730412048047248,0.001958391448199448,0.0020327662386032067,0.0024795215975389998,0.0015139583653446696,0.0015413866116938775,0.0017272767801033875,0.0007630707001700731,0.0009201900958235043
795.0,0.001117185865165701,5.242914891985283e-05,4.0679222514806224e-05,0.0005333268120607322,3.3604985397739316e-05,2.2685616916101835e-05,0.003195761650676907,0.0023241356464962053,0.002271263687742183,0.001723548933290024,0.0011735395195982144,0.0013477363392816527,0.002048275547324849,0.0006697186511798192,0.0005944874084963983,0.0012243575147406801,0.00035385082573880004,0.00033687316111963143
825.0,0.0010881483278253655,4.031057161339032e-06,2.589567142688188e-06,0.0004427314509629448,5.422732535764698e-06,2.634587417735597e-06,0.0028267820040791852,0.001397063635691075,0.0015701661977286663,0.0014536562245469251,0.0006413603332902802,0.0008700010241951032,0.0021327010743417514,0.0002584619003446791,0.00017043380014443568,0.001010505777933024,0.00014779182462943904,9.031727100270122e-05
855.0,0.00045099825240631897,1.4142574494613832e-06,2.723840994531279e-07,0.00016333300610380238,1.0734254328486515e-06,2.121450295079593e-07,0.0022868526933323948,0.0007353656026572728,0.0007851153245887756,0.0011462249060225547,0.00034810195561093784,0.00043004813446212767,0.001520048966347458,5.933953262500546e-05,1.3870488895391325e-05,0.000697421904457216,3.9841853101323355e-05,1.4977076442185846e-05
885.0,5.951516895814469e-05,1.1009189726346094e-07,3.452756190250917e-08,2.12655473862172e-05,1.3296936668170234e-07,2.0549660977978963e-08,0.0016520277155831606,0.00033214725404386166,0.0003708496086669152,0.0007911026523702339,0.00019170290299494976,0.0001888241258667412,0.0009102606822004136,5.824284795611174e-06,1.158111972146662e-06,0.00035329531116613653,6.210878236459878e-06,1.8964617274603969e-06
915.0,1.1992057801509135e-05,0.0,0.0,5.112961421814644e-06,0.0,0.0,0.001103685635902692,0.00016233304309721768,0.00013882976363612732,0.00048270387896020596,9.844495855398028e-05,7.978381698628592e-05,0.0003774061618858679,4.149617666084297e-06,8.794937295722475e-07,0.0001504060794116895,2.733124891521173e-06,7.499115252478647e-07
945.0,5.681826512942101e-06,0.0,0.0,2.9074654735924607e-06,0.0,0.0,0.0006618411463946428,0.0001527652103642748,4.07440576032676e-05,0.0003028881911878564,7.402960696885585e-05,3.0960240109781804e-05,4.841007831389782e-05,1.1115047319868654e-06,3.054730129430325e-07,2.1210895779570727e-05,4.400077224739968e-07,1.7346331472588127e-07
975.0,4.7130358171869963e-07,0.0,0.0,4.785051781935795e-07,0.0,0.0,0.0004857961668565497,0.00011607073414561506,1.0092022704526736e-05,0.00021060591716491443,5.409387246599553e-05,1.0594800798452484e-05,1.1776043659888065e-05,0.0,0.0,8.348336535285953e-06,0.0,0.0
1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003076067560216364,3.92968792978183e-05,1.5750322821194604e-06,0.00011048878881313383,1.6014588760659352e-05,2.111175464590604e-06,2.0390425792413187e-06,0.0,0.0,1.0456674071692182e-06,0.0,0.0
1035.0,0.0,0.0,0.0,0.0,0.0,0.0,6.825523204579479e-05,2.4719865239387888e-06,7.17022368842107e-07,2.2278666725428077e-05,2.2305006854643383e-06,9.89163975192952e-07,9.164236311196938e-08,0.0,0.0,1.7002722067792164e-08,0.0,0.0
1065.0,0.0,0.0,0.0,0.0,0.0,0.0,7.752943919272609e-06,1.1322528203172868e-06,7.116514147683835e-08,3.718495316226146e-06,5.161629052098809e-07,8.969322615094349e-08,0.0,0.0,0.0,0.0,0.0,0.0
1095.0,0.0,0.0,0.0,0.0,0.0,0.0,3.821486541769123e-06,0.0,0.0,1.8311931667012161e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1125.0,0.0,0.0,0.0,0.0,0.0,0.0,1.722876426505024e-06,0.0,0.0,6.903105159523618e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1155.0,0.0,0.0,0.0,0.0,0.0,0.0,8.889309221861031e-07,0.0,0.0,1.64926404057584e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1185.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
