distance_bin,"Comber, stokes, surface, no land contact","Comber, no stokes, surface, no land contact","Comber, no stokes, all depths, no land contact"
15.0,0.0,0.0,3.562093469608863e-05
45.0,0.0,0.0,0.007315285485160814
75.0,1.2240801358527338e-05,0.015979398520202304,0.051200652997527164
105.0,0.0015272985318579228,0.05304069247193639,0.08349856689901568
135.0,0.0128323528124151,0.051971988082162565,0.06857717027478921
165.0,0.042520734215571745,0.04739189416056317,0.0619806488821487
195.0,0.056128027942227814,0.056833248240765355,0.062362521798592564
225.0,0.05429546869884393,0.07834492550199873,0.07136377086767196
255.0,0.05896958269524065,0.12032736960444693,0.08797723094508643
285.0,0.0849164551560926,0.11429612897919542,0.09041470609579194
315.0,0.114603003711987,0.10897100931438425,0.08865195513240008
345.0,0.11835344123881204,0.09266156375479358,0.0774022251954801
375.0,0.11712493608599761,0.08071951457128929,0.06432173267101184
405.0,0.09989048999443442,0.06098346717798086,0.0524601494006069
435.0,0.07463872485778676,0.0397632370432338,0.03995704786644911
465.0,0.052865913293127995,0.02570326534599749,0.028792261486402945
495.0,0.03719271268307264,0.015615654891643828,0.01969121625423801
525.0,0.02655058616550129,0.01027994099887293,0.013780324003878687
555.0,0.016650474770281396,0.00799541557015137,0.009429235462641938
585.0,0.010012517299459803,0.006789528207779791,0.006979201870393323
615.0,0.006519215151760801,0.0043740442329596035,0.0052851377368128465
645.0,0.00437988964374267,0.0031462147086026688,0.0037707205078111243
675.0,0.002479580510486714,0.0021584448005324518,0.002420102032474906
705.0,0.0020612331228805738,0.0016971258765686233,0.0012927848091495153
735.0,0.0015355332527718412,0.0006837468994734287,0.0007443470976921762
765.0,0.0012055945620364336,0.000214196489037286,0.0002518075907571159
795.0,0.001117185865165701,5.242914891985283e-05,4.0679222514806224e-05
825.0,0.0010881483278253655,4.031057161339032e-06,2.589567142688188e-06
855.0,0.00045099825240631897,1.414257449461383e-06,2.723840994531279e-07
885.0,5.9515168958144684e-05,1.1009189726346096e-07,3.452756190250917e-08
915.0,1.1992057801509135e-05,0.0,0.0
945.0,5.681826512942101e-06,0.0,0.0
975.0,4.7130358171869963e-07,0.0,0.0
1005.0,0.0,0.0,0.0
1035.0,0.0,0.0,0.0
1065.0,0.0,0.0,0.0
1095.0,0.0,0.0,0.0
1125.0,0.0,0.0,0.0
1155.0,0.0,0.0,0.0
1185.0,0.0,0.0,0.0
