initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.9781297728160494,0.006330834438499377,0.0001147176194950709,0.0006756855826047007,,,0.0002138288236759941,,,,0.014535160719675424
Cerbere-Banyuls,0.9169672990018535,,0.0008006594858698952,0.013381287451113244,,,,,,,0.06885075406116341
Cape de Creus,0.8813809686888869,,0.0005539445209399078,0.011461970006373386,,,1.480534718900521e-06,,,,0.10660163624908087
Columbretes,0.9442314195402821,,,,0.010498286127930807,,0.00030058653860442764,,,,0.04496970779318268
Cala Ratjada,0.9196832284822204,,,,,0.024638900275893015,0.001681778330125138,,,,0.05399609291176147
Menorca,0.9884514913180861,,,,,0.0002159694284241908,0.00011960788016685731,,,,0.011212931373322911
Tabarca,0.896473391236117,,,,0.0043130203911061725,8.520913755074205e-05,0.0006295444752558057,0.004155097909908863,8.691969866523466e-05,,0.0942568171513962
Cabo de Palos,0.9329840252581727,,,,0.004208282244051541,0.0001272851117700887,0.0005006854596407353,0.0015711014052915914,4.874336598428216e-05,2.422632504188974e-06,0.060557454522584896
Cabo de Gata,0.9397171191349429,,,,,,,0.00019550582202949792,5.241213823068701e-05,0.011256916488239697,0.04877804641655722
