initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.9776015432205459,0.0046820464208800145,0.00015209023023583958,0.0013951417330282806,,,0.00035851246876258,,,,0.015810665926547344
Cerbere-Banyuls,0.9322119399262233,,0.0004580681069655601,0.007735494138137562,,,1.0623100810889613e-07,,,,0.0595943915976655
Cape de Creus,0.9141676021413766,,0.000436439007642324,0.004765636245724241,,,6.35800663775893e-07,,,,0.08062968680459302
Columbretes,0.9593024207926428,,,,0.00923096312996439,1.0854883834411254e-05,8.229531156446545e-05,,,,0.03137346588199394
Cala Ratjada,0.944739093834952,,,,,0.013876914010849624,0.0014522468435458722,,,,0.0399317453106525
Menorca,0.9889400696649241,,,,,0.000514626961912006,0.0001887551211781712,,,,0.010356548251985731
Tabarca,0.9339059850663131,,,,0.0020392176072049793,0.00013261026613822124,0.0005830748135070942,0.0016641292534553883,1.8574076364636852e-05,8.207150021583724e-07,0.06165558820201451
Cabo de Palos,0.9516757450080819,,,,0.002748369684161283,0.0004800562712589971,0.0009953478234857771,0.0004486057178989488,1.4161633349129092e-05,0.00010231202612833792,0.043535401835635534
Cabo de Gata,0.9563825514668959,,,,1.8968863286664067e-06,,,0.00014111982947795354,0.00012258993708081257,0.0063924617003020216,0.036959380179914694
