initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.7654542256003217,0.0667820071220957,0.00038286132923660604,0.0021343761391417115,,,0.00014861127911094214,,,,0.16509791853009337
Cerbere-Banyuls,0.2834942699493144,,0.00218299006840493,0.3173892121819095,,4.98086957780144e-05,0.00020157395166769384,,,,0.3966821451529254
Cape de Creus,0.3819838321537399,,0.0009294578678227052,0.141632784041731,,0.0001795134940818994,0.0005772656192014918,,,,0.47469714682342307
Columbretes,0.8847976151268263,,,,0.007993905476885476,5.9896821923611784e-06,0.0007924770622886128,,,,0.10641001265180719
Cala Ratjada,0.602140456762827,,,,,0.1260288694675283,0.00562782220539732,,,,0.26620285156424733
Menorca,0.7376686077387997,,,,,0.0006702291375684838,0.03144811889420113,,,,0.2302130442294307
Tabarca,0.37281905830182677,,,,0.0018046911347467268,0.00014496801478328474,0.0005059733787556855,0.008624398004193738,0.00024638088585935206,,0.6158545302798344
Cabo de Palos,0.5687312254153196,,,,0.002572012602635407,0.0001059534805045226,0.0005536298660877896,0.0029362813195389064,0.00026784246921731107,9.231356022734167e-06,0.42482382349067366
Cabo de Gata,0.4326473931104498,,,,,,,0.00022192502143052696,0.00018406644219538253,0.23113336748133545,0.33581324794458883
