initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.7803761430282022,0.05632631425020107,0.0010302011753608128,0.004986593503272815,,,0.000564082694771766,,,,0.15671666534819134
Cerbere-Banyuls,0.18101162178959476,,0.0024701925016491575,0.3859432839767319,,2.616844848359293e-05,0.00024761212907587214,,,,0.4303011211544647
Cape de Creus,0.35111853603903104,,0.0004531070614768668,0.1422823390761331,,0.00019039503094796725,0.000730640103458342,,,,0.5052249826889527
Columbretes,0.9305434551297694,,,,0.010172974958772217,4.1700704692892375e-05,0.00026679736881443026,,,,0.058975071837951025
Cala Ratjada,0.6172494836056787,,,,,0.12239864895380231,0.004261440461971052,,,,0.256090426978548
Menorca,0.7140546364346432,,,,,0.0009302787661753354,0.03389442467649329,,,,0.2511206601226882
Tabarca,0.3415196507689652,,,,0.0005202901689801479,0.00046117012981161193,0.001709190049423338,0.007091602115613139,,,0.6486980967672066
Cabo de Palos,0.5534502333208784,,,,0.0018378333161882007,0.0003407670679997723,0.0010935915120350974,0.0017598944842999946,6.814736948736134e-05,3.974004029972513e-05,0.44140979288881144
Cabo de Gata,0.3874513583741761,,,,,,,0.0002445073516984959,0.00022185369838318968,0.24851262252830827,0.36356965804743396
