initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.964755721341821,0.010540019020235014,0.000371983453527195,0.0013507273374149626,,,0.0004481605937909273,,,,0.022533388253210912
Cerbere-Banyuls,0.8738663264157822,,0.0008674173839271214,0.017125976160425552,,7.917773751131232e-06,8.423163565033224e-07,,,,0.10813151994975752
Cape de Creus,0.8551956105860341,,0.0002978900361762444,0.010128096504247907,,1.945411041385449e-05,3.706329249040864e-05,,,,0.1343218854706375
Columbretes,0.9713415419067315,,,,0.010646970701250761,2.074832875726916e-05,9.211345953776638e-05,,,,0.01789862560372269
Cala Ratjada,0.9254082170619339,,,,,0.021044290391437976,0.0029313521087910876,,,,0.05061614043783704
Menorca,0.9839034138431925,,,,,0.0006194837528943891,0.0005337820449847173,,,,0.014943320358928428
Tabarca,0.8924166759941105,,,,0.0013813169110456925,0.00012559175815312124,0.0008614388723168632,0.003950816522820914,,,0.10126415994155301
Cabo de Palos,0.9371536994205846,,,,0.0031442694043363763,0.0002835912402207555,0.0011290912495790079,0.0010220142288867226,3.32967654880887e-05,4.818724446412837e-05,0.057185850446440346
Cabo de Gata,0.9326509073443113,,,,,,,0.0003454183247132783,0.0001167175302371815,0.011981825649799806,0.054905131150938424
