initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.978418747415075,0.004755582581236029,0.0001582472189819253,0.0014233957580582985,,,0.00030798791295312685,,,,0.014936039113695638
Cerbere-Banyuls,0.9371383152293029,,0.0004411546083107101,0.007181787989643786,,1.8329443591410339e-06,1.3220598675506607e-05,,,,0.05522368862970796
Cape de Creus,0.919961532994568,,0.00040763554518833734,0.004440606744389462,,3.358745503184951e-06,3.067800338064036e-05,,,,0.07515618796697042
Columbretes,0.956672120231865,,,,0.009428083756186137,1.6243294870223535e-05,0.00011727526836993504,,,,0.03376627744870873
Cala Ratjada,0.943305105056333,,,,,0.013515351857381118,0.0017499008409799976,,,,0.041429642245305896
Menorca,0.9898754141322951,,,,,0.0005825407462187975,0.00023926939616254,,,,0.009302775725323557
Tabarca,0.9353575311034641,,,,0.0020416352453629075,0.00011857334373928059,0.0005915722986066461,0.0017168697083604586,1.9617159636142977e-05,8.48068334668297e-07,0.06015335307249578
Cabo de Palos,0.9527420684400841,,,,0.0028426449565061014,0.00046693914412341983,0.001011900171239142,0.00046134519153464404,1.3645576150980964e-05,0.00011620748722125724,0.04234524903314032
Cabo de Gata,0.9566216842855184,,,,2.0113348904695005e-06,,,0.00015454837771285,0.00011106066569114198,0.006732541560963213,0.036378153775223965
