initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.9630138683062197,0.010399359302133137,0.0003562616822897153,0.0013446434536119078,,,0.0005353433283252848,,,,0.024350523927420216
Cerbere-Banyuls,0.8560624120742434,,0.0007385801544834368,0.023981747756264597,,,,,,,0.11921726001500862
Cape de Creus,0.8516248473410984,,0.0003033582118240641,0.01131759482574393,,,3.0274373197204163e-06,,,,0.1367511721840138
Columbretes,0.9790937584110045,,,,0.010847782703008856,,3.741103897730114e-05,,,,0.010021047847009256
Cala Ratjada,0.9247664602888543,,,,,0.022568240969204664,0.002258126103054003,,,,0.05040717263888697
Menorca,0.9836943701847236,,,,,0.0005623884964650707,0.0004486260701779587,,,,0.01529461524863335
Tabarca,0.8871860230739906,,,,0.0013527316250352415,8.156648149861028e-05,0.0008540090882719749,0.0038199787618418044,,,0.10670569096936175
Cabo de Palos,0.934106433914468,,,,0.0030202431766598137,0.00025371713249423876,0.0011093847496264845,0.0009759881071647868,3.162141804161001e-05,3.4355974633258674e-05,0.06046825552691176
Cabo de Gata,0.9316881373407722,,,,,,,0.000351438907724822,0.00011010049058927007,0.012317824212554606,0.05553249904835912
