initial_MPA,Ocean,Cote Bleue,Cerbere-Banyuls,Cape de Creus,Columbretes,Cala Ratjada,Menorca,Tabarca,Cabo de Palos,Cabo de Gata,Coast
Cote Bleue,0.725615848557025,0.13485434185801834,0.0003625799765505648,0.0027281739965563496,,,0.00016677937633819987,,,,0.13627227623551152
Cerbere-Banyuls,0.2525566593341829,,0.03310212668021467,0.3094226849251803,,,3.5172842877637553e-06,,,,0.4049150117761343
Cape de Creus,0.37684113195067975,,0.0037268184694263175,0.20941132459768658,,,3.190099377004431e-06,,,,0.4100175348828303
Columbretes,0.8955568356846166,,,,0.062114041616572094,1.3488535781300631e-05,0.000197503527644904,,,,0.0421181306353851
Cala Ratjada,0.5548769628698452,,,,,0.1961667575558665,0.004414978624277454,,,,0.24454130095001086
Menorca,0.7046752558325297,,,,,0.0008288391344780676,0.06378807300949063,,,,0.23070783202350167
Tabarca,0.36521301588303823,,,,0.0005095991848993259,7.803917849592044e-05,0.00046933497144073294,0.04222762675820485,0.00024665681428757475,1.4823846495410096e-06,0.5912542448249838
Cabo de Palos,0.5588956975216846,,,,0.0006660567276469905,0.0003061079939447564,0.0005376111414492091,0.01081747230602633,0.010788896696323862,0.000508129182330499,0.4174800284305938
Cabo de Gata,0.43777271822167885,,,,5.169287672707476e-07,,2.9485980839371026e-07,0.00018925194365451074,0.0002392913876083845,0.27618482603366984,0.28561310062481277
